Employee ID,Name,Phone Number,Address,Date of Birth,Join Date,Login Time,Logout Time,Break Time,Leave (Company),Leave (Own),Attendance Track,Productivity %,Salary,Bonus
EMP0168,Cicely Delieu,37-986-9601,"456 Oak St, Shelbyville",26-08-1978,12-09-2022,08:07,20:24,01:53,2,Full Day,23/30,51.05,65343,3615
EMP0169,Eleanore Wanjek,31-664-3098,"202 Cedar St, North Haverbrook",21-04-1984,29-04-2007,09:19,20:36,01:18,4,Full Day,20/30,99.09,96856,4637
EMP0170,Camellia Tenby,07-414-2542,"101 Pine St, Ogdenville",08-05-1990,06-11-2023,10:53,16:45,00:37,5,Full Day,16/30,69.75,56941,3867
EMP0171,Buck Simkins,60-957-6149,"789 Maple St, Capital City",15-03-1971,06-10-2014,09:38,17:34,02:17,4,Half Day,15/30,99.64,84269,4396
EMP0172,Zolly Murricanes,50-916-7208,"123 Elm St, Springfield",12-02-1979,07-07-2012,09:44,17:37,01:04,1,Full Day,20/30,77.32,88745,1098
EMP0173,Helene Kiljan,41-390-1597,"789 Maple St, Capital City",15-06-1990,17-06-2010,09:13,20:11,00:39,4,Full Day,20/30,84.06,82085,2282
EMP0174,Lucinda Fidilis,29-286-7376,"789 Maple St, Capital City",29-03-1988,11-09-2023,08:44,17:01,00:51,0,Full Day,30/30,53.58,66441,4330
EMP0175,Adham Lubbock,25-208-7254,"101 Pine St, Ogdenville",29-03-1986,11-07-2019,07:35,19:51,01:11,5,None,28/30,50.14,66296,1948
EMP0176,Stephani Caustic,29-496-5147,"202 Cedar St, North Haverbrook",26-08-1977,16-09-2023,10:29,19:53,00:09,2,None,27/30,80.93,77591,4154
EMP0177,Flinn Holyland,56-640-0443,"202 Cedar St, North Haverbrook",04-07-1990,28-07-2019,10:21,18:12,00:39,1,None,29/30,94.63,98192,2529
EMP0178,Deena Snodden,91-276-5273,"202 Cedar St, North Haverbrook",13-10-1975,23-10-2010,09:55,20:55,02:49,0,None,28/30,76.21,84284,3641
EMP0179,Meghan Brosini,27-466-8557,"202 Cedar St, North Haverbrook",03-01-1992,06-12-2012,09:37,17:38,01:18,1,None,26/30,79.67,96825,2171
EMP0180,Dame Hollyard,35-037-3084,"123 Elm St, Springfield",03-01-1977,27-01-2023,10:08,20:14,02:02,0,Half Day,20/30,60.74,41514,2162
EMP0181,Joye Abberley,68-869-2484,"123 Elm St, Springfield",03-04-1977,15-07-2012,08:53,19:10,02:00,0,Full Day,25/30,83.46,55642,4854
EMP0182,Adele Cowthard,18-530-5291,"101 Pine St, Ogdenville",27-03-1994,15-12-2016,07:07,16:09,00:53,5,Half Day,27/30,87.21,53556,1619
EMP0183,Vincenty Honeywood,80-607-6801,"101 Pine St, Ogdenville",10-10-1994,08-05-2019,07:50,17:12,02:24,4,Full Day,15/30,65.41,44593,3892
EMP0184,Christian Pechold,04-958-6215,"202 Cedar St, North Haverbrook",15-08-1971,16-11-2020,07:58,19:08,01:04,4,None,24/30,91.41,99364,2894
EMP0185,Paulina Overstall,50-670-8269,"456 Oak St, Shelbyville",24-10-1976,21-06-2006,09:57,20:58,01:07,0,Full Day,29/30,57.24,65985,3569
EMP0186,Collie Melchior,17-741-0446,"123 Elm St, Springfield",13-08-1996,03-12-2014,07:09,18:08,00:56,5,None,26/30,57,43515,2425
EMP0187,Georgianne McNiven,92-192-6509,"101 Pine St, Ogdenville",12-08-1974,04-02-2017,10:53,19:55,01:37,2,None,26/30,67.14,57816,1846
EMP0188,Jacki Hynard,66-488-5301,"202 Cedar St, North Haverbrook",29-12-1980,18-08-2009,10:41,18:29,02:44,4,None,26/30,84.14,56274,4234
EMP0189,Annabell Pikett,25-028-4753,"202 Cedar St, North Haverbrook",23-07-1984,26-01-2006,08:13,18:48,00:12,1,Half Day,15/30,93.51,87439,4753
EMP0190,Terrill Daughtrey,18-704-0876,"101 Pine St, Ogdenville",21-09-1972,10-12-2006,07:22,19:18,02:55,4,Full Day,20/30,78.63,90189,1969
EMP0191,Buddy Bridgwood,36-534-6958,"456 Oak St, Shelbyville",03-12-1982,14-02-2020,09:14,16:30,02:09,0,None,17/30,57.42,52828,1263
EMP0192,Bernardine Piegrome,32-368-2737,"101 Pine St, Ogdenville",09-03-1985,08-01-2010,08:21,18:21,01:10,5,Half Day,15/30,62.45,77477,3160
EMP0193,Aubine Bosworth,65-923-5729,"202 Cedar St, North Haverbrook",22-06-1995,09-03-2012,10:24,19:18,00:43,5,None,20/30,64.31,40796,2255
EMP0194,Emerson Walshaw,00-419-8856,"202 Cedar St, North Haverbrook",24-10-1980,24-10-2006,07:41,19:03,02:28,3,Half Day,21/30,69.48,57478,2291
EMP0195,Ronnica Tindley,38-186-5565,"789 Maple St, Capital City",15-11-1973,22-03-2008,07:12,20:01,02:01,4,None,27/30,93.17,42386,2808
EMP0196,Myer Hengoed,71-680-7515,"123 Elm St, Springfield",14-10-1985,10-09-2017,09:14,19:06,00:50,3,Half Day,25/30,52.97,54480,2418
EMP0197,Montague Barnaby,55-539-6665,"101 Pine St, Ogdenville",18-07-1994,26-03-2016,08:05,18:54,01:22,4,Full Day,27/30,65.18,45755,2592
EMP0198,Agneta Verni,52-175-6416,"101 Pine St, Ogdenville",05-02-1976,04-02-2022,09:24,18:48,00:18,0,Half Day,26/30,69.98,62465,1373
EMP0199,Henri Bulman,54-048-8388,"789 Maple St, Capital City",11-11-1989,19-10-2011,07:57,18:02,02:38,0,Half Day,15/30,72.46,94309,2271
EMP0200,Seymour Greatland,99-415-9171,"123 Elm St, Springfield",08-11-1993,16-12-2005,08:36,20:03,00:49,4,Half Day,23/30,92.28,47980,1938
